business_name,phone,website,location,industry,email,score,status
"Master Maintenance","(504) 319-2092","Open Website","","STRICT_BUSINESS","",70,"new"
"C.W. Briscoe Roofing & Construction","(337) 761-6441","Open Website","","STRICT_BUSINESS","",70,"new"
"Magnon Electric, Inc","(337) 233-9871","Open Website","","STRICT_BUSINESS","",70,"new"
"Home 360","(225) 926-4663","Open Website","","STRICT_BUSINESS","",70,"new"
"Brewster Law Firm LLC","(504) 717-4971","Open Website","","STRICT_BUSINESS","",70,"new"
"Feucht Law Firm","(337) 466-4424","Open Website","","STRICT_BUSINESS","",70,"new"
"Pintail Roofing, LLC","(318) 226-7663","Open Website","","STRICT_BUSINESS","",70,"new"
"Triton Roofing","(504) 264-7770","Open Website","","STRICT_BUSINESS","",70,"new"
"Frischhertz","(504) 482-1146","Open Website","","STRICT_BUSINESS","",70,"new"
"214Faded","(469) 890-5811","Open Link","","MICROBUSINESS","",70,"new"
"B.Hair Braiding","(214) 566-1152","Open Link","","MICROBUSINESS","",70,"new"
"Blink’n & Tippin Studios","(469) 465-9377","Open Link","","MICROBUSINESS","",70,"new"
"Bonnet B’ Gone","(469) 465-5215","Open Link","","MICROBUSINESS","",70,"new"
"Braids by anointed hands","(351) 356-6175","Open Link","","MICROBUSINESS","",70,"new"
"BriAliahBeautyBar","(945) 201-4390","Open Link","","MICROBUSINESS","",70,"new"
"Bryanmess_cutz","(817) 217-1986","Open Link","","MICROBUSINESS","",70,"new"
"Cesar Barber","(903) 706-6780","Open Link","","MICROBUSINESS","",70,"new"
"Checkmate The Barber","(469) 554-6039","Open Link","","MICROBUSINESS","",70,"new"
"Denny’s Dolls","(945) 545-1260","Open Link","","MICROBUSINESS","",70,"new"
"Deon Da Barber","(469) 984-0194","Open Link","","MICROBUSINESS","",70,"new"
"Deshundra's Hair Studio","(214) 486-0036","Open Link","","MICROBUSINESS","",70,"new"
"Djtazdabarber","(504) 295-0780","Open Link","","MICROBUSINESS","",70,"new"
"DougThaBarber💈","(682) 324-1066","Open Link","","MICROBUSINESS","",70,"new"
"Drip the Barber","(469) 395-1768","Open Link","","MICROBUSINESS","",70,"new"
"Estilista cubana Studio dallas","(945) 323-7214","Open Link","","MICROBUSINESS","",70,"new"
"Flash_da_barber","(786) 768-1104","Open Link","","MICROBUSINESS","",70,"new"
"Ify’s Locs & Twists","(972) 897-2791","Open Link","","MICROBUSINESS","",70,"new"
"J'S Undoing Braids & Extensions Takedown","(972) 626-1153","Open Link","","MICROBUSINESS","",70,"new"
"karenncutz","(214) 934-9748","Open Link","","MICROBUSINESS","",70,"new"
"Laced with Glam","(817) 200-6830","Open Link","","MICROBUSINESS","",70,"new"
"LadyLocs","(901) 628-0970","Open Link","","MICROBUSINESS","",70,"new"
"Larro Cuts💈✔️","(612) 237-0039","Open Link","","MICROBUSINESS","",70,"new"
"Luxxxs By Shanel","(404) 450-3660","Open Link","","MICROBUSINESS","",70,"new"
"Manny Blendz","(972) 741-7679","Open Link","","MICROBUSINESS","",70,"new"
"MiCHaEL AnGeLO BaRbeR(Miguel)","(972) 768-9455","Open Link","","MICROBUSINESS","",70,"new"
"Nailgeniedfw","(817) 968-8669","Open Link","","MICROBUSINESS","",70,"new"
"Nailsbymvd","(945) 394-5356","Open Link","","MICROBUSINESS","",70,"new"
"NAL Studio(nails&lashes)","(817) 839-2994","Open Link","","MICROBUSINESS","",70,"new"
"Paonails","(630) 524-1000","Open Link","","MICROBUSINESS","",70,"new"
"Priceless Braids","(469) 216-0596","Open Link","","MICROBUSINESS","",70,"new"
"Q Beauté Hair and Nails","(469) 740-6483","Open Link","","MICROBUSINESS","",70,"new"
"Rob The Barber","(945) 321-2154","Open Link","","MICROBUSINESS","",70,"new"
"Shay's Hair & Braids","(214) 564-7141","Open Link","","MICROBUSINESS","",70,"new"
"Slayyedbynaae","(214) 783-6264","Open Link","","MICROBUSINESS","",70,"new"
"softies.alyy","(214) 682-0496","Open Link","","MICROBUSINESS","",70,"new"
"Soto nails","(917) 951-2418","Open Link","","MICROBUSINESS","",70,"new"
"Spellbound Nail Art","(817) 230-3941","Open Link","","MICROBUSINESS","",70,"new"
"Stylesbydupe","(214) 881-5266","Open Link","","MICROBUSINESS","",70,"new"
"Tha Kut Gallery","(504) 813-7853","Open Link","","MICROBUSINESS","",70,"new"
"The JAI MADISON Experience","(469) 796-6794","Open Link","","MICROBUSINESS","",70,"new"
"The Kutting Edge Grooming & Styling Company","(214) 434-4282","Open Link","","MICROBUSINESS","",70,"new"
"TheBarberBc","(682) 701-6923","Open Link","","MICROBUSINESS","",70,"new"
"TheSalon972.com","(972) 685-2106","Open Link","","MICROBUSINESS","",70,"new"
"Tony Cuttz Master Barber","(214) 779-8493","Open Link","","MICROBUSINESS","",70,"new"
"TrillFadez","(214) 229-0850","Open Link","","MICROBUSINESS","",70,"new"
"Willi Barber","(469) 328-7284","Open Link","","MICROBUSINESS","",70,"new"
"YepSheBraids","(469) 918-9848","Open Link","","MICROBUSINESS","",70,"new"
"💈Legacy.67 Barber Room💈","(214) 271-7622","Open Link","","MICROBUSINESS","",70,"new"
"Chocolatestyles","(214) 434-9101","Open Link","","MICROBUSINESS","",70,"new"
"Sabrinaxnail","(469) 901-0244","Open Link","","MICROBUSINESS","",70,"new"
"Decuir, Clark & Adams, LLP Attorneys at Law","(225) 346-8716","Open Website","","STRICT_BUSINESS","",50,"new"
"Malone Electrical Services","(504) 288-4000","Open Website","","STRICT_BUSINESS","",50,"new"
"James C. Keller, Jr. DDS","(225) 769-3352","Open Website","","STRICT_BUSINESS","",50,"new"
"Expert Pest Services","(225) 315-0097","Open Website","","STRICT_BUSINESS","",50,"new"
"Martz Construction","(504) 417-6524","Open Website","","STRICT_BUSINESS","",50,"new"
"Ford Roofing Service","(337) 984-5130","Open Website","","STRICT_BUSINESS","",50,"new"
"H & M Termite and Pest Control","(504) 887-2982","Open Website","","STRICT_BUSINESS","",50,"new"
"A&P Electrical Service, Inc.","(800) 914-8380","Open Website","","STRICT_BUSINESS","",50,"new"
"Fleur De Lis Roofing","(504) 470-0827","Open Website","","STRICT_BUSINESS","",50,"new"
"Deluxe Pest Control","(504) 837-5800","Open Website","","STRICT_BUSINESS","",50,"new"
"Dial One Franklynn Pest Control","(504) 885-3101","Open Website","","STRICT_BUSINESS","",50,"new"
"Above All Construction, LLC","(504) 446-3271","Open Website","","STRICT_BUSINESS","",50,"new"
"Roofing Louisiana","(337) 993-0584","Open Website","","STRICT_BUSINESS","",50,"new"
"Godwyn Realty","(504) 826-8426","Open Website","","STRICT_BUSINESS","",50,"new"
"Rain Pro Roofing","(318) 751-7663","Open Website","","STRICT_BUSINESS","",50,"new"
"Walter's Construction","(225) 955-0439","Open Website","","STRICT_BUSINESS","",50,"new"
"Burford Roofing & Construction","(337) 412-7540","Open Website","","STRICT_BUSINESS","",50,"new"
"Mackie One","(504) 821-1530","Open Website","","STRICT_BUSINESS","",50,"new"
"RPC Pest Solutions","(985) 345-6680","Open Website","","STRICT_BUSINESS","",50,"new"
"A & M Contractors LLC","(225) 622-9007","Open Website","","STRICT_BUSINESS","",50,"new"
"Audubon Pest Control","(504) 734-2007","Open Website","","STRICT_BUSINESS","",50,"new"
"Hub City Home Improvement & Roofing","(337) 626-4663","Open Website","","STRICT_BUSINESS","",50,"new"
"Roof Crafters","(888) 846-1558","Open Website","","STRICT_BUSINESS","",50,"new"
"Brans Pest Control, LLC","(504) 392-3030","Open Website","","STRICT_BUSINESS","",50,"new"
"G&S Electric LLC","(318) 424-8100","Open Website","","STRICT_BUSINESS","",50,"new"
"Kwatt Electric","(225) 247-1016","Open Website","","STRICT_BUSINESS","",50,"new"
"Roof Repair Squad","(832) 225-4593","Open Website","","STRICT_BUSINESS","",50,"new"
"Arceneaux Electrical Service, LLC","(337) 501-9084","Open Website","","STRICT_BUSINESS","",50,"new"
"Armstrong Tree Service","(504) 405-1366","Open Website","","STRICT_BUSINESS","",50,"new"
"Risk Tree Service","(504) 667-3650","Open Website","","STRICT_BUSINESS","",50,"new"
"Yeah Trees","(504) 481-7194","Open Website","","STRICT_BUSINESS","",50,"new"
"Benton Tree Service","(504) 323-5533","Open Website","","STRICT_BUSINESS","",50,"new"
"Priority Roofing","(318) 202-2123","Open Website","","STRICT_BUSINESS","",50,"new"
"Magnolia Roofing","(985) 200-4812","Open Website","","STRICT_BUSINESS","",50,"new"
"Roofs Restored","(833) 766-3969","Open Website","","STRICT_BUSINESS","",50,"new"
"Schwander Hutchinson Roofing, Inc.","(504) 248-5922","Open Website","","STRICT_BUSINESS","",50,"new"
"SteadFast Electric","(225) 364-9218","Open Website","","STRICT_BUSINESS","",50,"new"
"Edwards Law Firm Attorneys at Law","(337) 237-6881","Open Website","","STRICT_BUSINESS","",50,"new"
"Koederitz Law Firm, LLC","(225) 295-9494","Open Website","","STRICT_BUSINESS","",50,"new"
"Law Office of Ty Marchand","(225) 888-3318","Open Website","","STRICT_BUSINESS","",50,"new"
"Attorney Todd M. Johnson","(318) 222-4444","Open Website","","STRICT_BUSINESS","",50,"new"
"E Eric Guirard Injury Lawyers","(844) 833-3003","Open Website","","STRICT_BUSINESS","",50,"new"
"Favret Carriere Cronvich, LLC","(504) 383-8978","Open Website","","STRICT_BUSINESS","",50,"new"
"Duncan Law Firm","(225) 341-7187","Open Website","","STRICT_BUSINESS","",50,"new"
"Frederick Law Firm","(337) 269-5143","Open Website","","STRICT_BUSINESS","",50,"new"
"Gilmer & Giglio","(318) 459-9111","Open Website","","STRICT_BUSINESS","",50,"new"
"Keaty & Tilly, LLC Attorneys at Law","(337) 347-8995","Open Website","","STRICT_BUSINESS","",50,"new"
"Lambert Zainey Smith & Soso","(504) 581-1750","Open Website","","STRICT_BUSINESS","",50,"new"
"The Robinson Law Firm LLC","(225) 800-3370","Open Website","","STRICT_BUSINESS","",50,"new"
"Rice Law Firm","(318) 861-8661","Open Website","","STRICT_BUSINESS","",50,"new"
"The Law Office of Venese M. Morgan, LLC","(225) 310-1110","Open Website","","STRICT_BUSINESS","",50,"new"
"McCorvey Law, LLC","(337) 291-2431","Open Website","","STRICT_BUSINESS","",50,"new"
"Rachel M. Beyer, DDS","(225) 922-9540","Open Website","","STRICT_BUSINESS","",50,"new"
"Burbank Family Dental","(337) 451-4636","Open Website","","STRICT_BUSINESS","",50,"new"
"Oak Family Dental","(504) 834-6410","Open Website","","STRICT_BUSINESS","",50,"new"
"Camenzuli Dental Excellence","(504) 584-4225","Open Website","","STRICT_BUSINESS","",50,"new"
"Al’s Pest Control Service, Inc.","(504) 368-5927","Open Website","","STRICT_BUSINESS","",50,"new"
"Kenny Habetz Injury Law","(337) 399-9000","Open Website","","STRICT_BUSINESS","",50,"new"
"Appleton Prosthodontics","(225) 291-6221","Open Website","","STRICT_BUSINESS","",50,"new"
"The Law Offices of James Kirk Piccione","(337) 233-9030","Open Website","","STRICT_BUSINESS","",50,"new"
"Allan Berger & Associates Attorneys at Law","(504) 618-1597","Open Website","","STRICT_BUSINESS","",50,"new"
"Law Offices of John S. Williams, LLC","(504) 486-0300","Open Website","","STRICT_BUSINESS","",50,"new"
"Fini Firm","(225) 444-5587","Open Website","","STRICT_BUSINESS","",50,"new"
"Carroll Bradford Lawn & Pest","(407) 842-5296","Open Website","","STRICT_BUSINESS","",50,"new"
"LA Roofing Services","(424) 444-0447","Open Website","","STRICT_BUSINESS","",50,"new"
"Prichard Tree Care","(817) 284-8307","Open Website","","STRICT_BUSINESS","",50,"new"
"ProGuard Solutions Group","(407) 504-0808","Open Website","","STRICT_BUSINESS","",50,"new"
"Burt Barr & Associates, L.L.P.","(214) 943-0012","Open Website","","STRICT_BUSINESS","",50,"new"
"Olson Electric Service","(972) 709-4999","Open Website","","STRICT_BUSINESS","",50,"new"
"Top Tree Service Company","(678) 916-6040","Open Website","","STRICT_BUSINESS","",50,"new"
"Time Electrical Services","(407) 600-6632","Open Website","","STRICT_BUSINESS","",50,"new"
"N. Sandy Epstein Attorney at Law","(404) 739-5000","Open Website","","STRICT_BUSINESS","",50,"new"
"A What About Bobs Tree Service?","(407) 260-1579","Open Website","","STRICT_BUSINESS","",50,"new"
"Blue Star Electric","(404) 234-6777","Open Website","","STRICT_BUSINESS","",50,"new"
"Exterior Armor Construction","(770) 490-8924","Open Website","","STRICT_BUSINESS","",50,"new"
"West LA Electric","(310) 313-2400","Open Website","","STRICT_BUSINESS","",50,"new"
"Merck Law, LLC","(404) 507-2462","Open Website","","STRICT_BUSINESS","",50,"new"
"Shrestha Law Firm, PLLC","(212) 625-3394","Open Website","","STRICT_BUSINESS","",50,"new"
"Swiren & Witzleb, PLLC","(480) 504-1696","Open Website","","STRICT_BUSINESS","",50,"new"
"Wesley Heath","(214) 680-7771","Open Website","","STRICT_BUSINESS","",50,"new"
"A Seed in Time Tree Service","(866) 223-4896","Open Website","","STRICT_BUSINESS","",50,"new"
"CNI Electric","(407) 440-3627","Open Website","","STRICT_BUSINESS","",50,"new"
"Kelly Young Electric Inc.","(214) 725-0212","Open Website","","STRICT_BUSINESS","",50,"new"
